,Data,cos_word,cos_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
18,Normal.,Normal,"[0.0, 0.0, 0.0, 0.17, 0.22, 0.44, 0.6, 0.93, 0.44, 0.53, 0.31, 0.25, 0.31, 0.34]",Normal,"[2.83, 3.32, 4.0, 3.16, 2.83, 2.45, 5.74, 1.0, 3.32, 3.61, 3.0, 3.46, 3.0, 2.83]",Normal,"[7, 7, 7, 7, 6, 5, 18, 1, 6, 9, 7, 7, 7, 5]",cosine,Normal
19,Not Done,Not Done,"[0.0, 0.0, 0.0, 0.26, 0.33, 0.33, 0.67, 0.47, 1, 0.27, 0.47, 0.48, 0.47, 0.26]",Not Done,"[3.61, 4.0, 4.58, 3.61, 3.32, 3.32, 5.29, 3.16, 0.0, 4.69, 3.16, 3.32, 3.16, 3.61]",Not Done,"[8, 8, 8, 7, 7, 7, 17, 6, 0, 9, 8, 7, 7, 7]",cosine,Not Done
20,Occasional,Occasianal,"[0.0, 0.0, 0.0, 0.22, 0.29, 0.43, 0.54, 0.61, 0.43, 0.94, 0.2, 0.17, 0.41, 0.45]",Occasianal,"[4.12, 4.47, 5.0, 4.12, 3.87, 3.61, 5.83, 3.16, 4.0, 1.41, 4.24, 4.58, 3.74, 3.61]",Occasianal,"[10, 10, 10, 10, 10, 8, 20, 8, 8, 1, 9, 8, 8, 9]",cosine,Occasianal
21,Plenty,Plenty,"[0.0, 0.0, 0.0, 0.18, 0.24, 0.47, 0.29, 0.33, 0.47, 0.19, 1, 0.68, 0.5, 0.37]",Plenty,"[2.65, 3.16, 3.87, 3.0, 2.65, 2.24, 6.63, 2.83, 3.16, 4.47, 0.0, 2.24, 2.45, 2.65]",Plenty,"[6, 6, 6, 6, 6, 6, 21, 6, 8, 9, 0, 4, 4, 6]",cosine,Plenty
22,Present,Present,"[0.0, 0.0, 0.0, 0.3, 0.38, 0.19, 0.53, 0.27, 0.48, 0.16, 0.68, 1, 0.68, 0.6]",Present,"[3.16, 3.61, 4.24, 3.16, 2.83, 3.16, 5.92, 3.32, 3.32, 4.8, 2.24, 0.0, 2.24, 2.45]",Present,"[7, 7, 7, 6, 7, 7, 19, 7, 7, 8, 4, 0, 3, 5]",cosine,Present
23,Present (+),Present,"[0.28, 0.28, 0.28, 0.37, 0.32, 0.16, 0.52, 0.23, 0.48, 0.13, 0.57, 0.83, 0.57, 0.5]",Present,"[3.46, 3.61, 4.0, 3.46, 3.46, 3.74, 5.92, 3.87, 3.61, 5.2, 3.0, 2.0, 3.0, 3.16]",Present,"[10, 10, 10, 10, 11, 11, 19, 11, 10, 11, 7, 4, 7, 9]",cosine,Present
24,Present (++),Present,"[0.5, 0.5, 0.5, 0.34, 0.29, 0.14, 0.47, 0.2, 0.43, 0.12, 0.51, 0.75, 0.51, 0.45]",Present,"[3.61, 3.46, 3.61, 3.87, 3.87, 4.12, 6.16, 4.24, 4.0, 5.48, 3.46, 2.65, 3.46, 3.61]",Present,"[11, 10, 10, 11, 12, 12, 19, 12, 10, 12, 8, 5, 8, 10]",cosine,Present
25,Trace,Trace,"[0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.32, 0.37, 0.26, 0.53, 0.37, 0.6, 0.55, 1]",Trace,"[2.45, 3.0, 3.74, 2.45, 2.83, 2.83, 6.56, 2.65, 3.61, 3.61, 2.65, 2.45, 2.24, 0.0]",Trace,"[5, 5, 5, 5, 5, 5, 19, 5, 7, 9, 6, 5, 6, 0]",cosine,Trace
26,Very few,A Few,"[0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.37, 0.13, 0.27, 0.0, 0.39, 0.53, 0.26, 0.42]",A Few,"[3.32, 3.74, 4.36, 2.24, 3.61, 3.61, 6.48, 3.74, 4.0, 5.29, 3.16, 3.0, 3.46, 3.0]",A Few,"[8, 8, 8, 5, 8, 8, 19, 7, 8, 10, 8, 7, 8, 6]",cosine,A Few
27,a few,A Few,"[0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.32, 0.18, 0.26, 0.32, 0.18, 0.3, 0.37, 0.4]",A Few,"[2.45, 3.0, 3.74, 0.0, 2.83, 2.83, 6.56, 3.0, 3.61, 4.12, 3.0, 3.16, 2.65, 2.45]",A Few,"[5, 5, 5, 2, 5, 5, 19, 6, 7, 9, 6, 6, 5, 5]",cosine,A Few
28,nil,Nil,"[0.0, 0.0, 0.0, 0.0, 0.33, 1, 0.42, 0.47, 0.33, 0.41, 0.47, 0.19, 0.24, 0.0]",Nil,"[2.0, 2.65, 3.46, 2.83, 2.0, 0.0, 6.4, 2.24, 3.32, 3.87, 2.24, 3.16, 2.65, 2.83]",Nil,"[3, 3, 3, 5, 3, 1, 20, 5, 8, 8, 5, 7, 6, 5]",cosine,Nil
