,smp,ref,cos,ref_lp,lp,ref_lev,lv,ecul,refe
39,non-reactive(0.1),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
40,non-reactive(0.41),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
41,non-reactive(0.43),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
42,non-reactive(0.40),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
43,non-reactive(0.42),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
44,non-reactive(0.44),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
45,non-reactive(0.00),non-reac,"[0.47, 0.66, 0.47]",non-reac,"[4.69, 4.0, 4.8]",non-reac,"[14, 10, 14]",cosine,non-reac
46,non-reactive(0.45),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
47,non-reactive(0.46),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
48,non-reactive(0.47),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
49,non-reactive(0.49),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
50,non-reactive(0.48),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
51,non-reactive(0.50),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
52,non-reactive(0.51),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
53,non-reactive(0.52),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
54,non-reactive(0.2),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
55,non-reactive(0.53),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
56,non-reactive(0.55),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
57,non-reactive(0.54),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
58,non-reactive(0.58),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
59,non-reactive(0.57),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
60,non-reactive(0.56),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
61,non-reactive(0.59),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
62,non-reactive(0.63),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
63,non-reactive(0.62),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
64,non-reactive(0.61),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
65,non-reactive(0.60),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
66,non-reactive(0.64),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
67,non-reactive(0.65),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
68,non-reactive(0.69),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
69,non-reactive(0.66),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
70,non-reactive(0.67),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
71,non-reactive(0.3),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
72,non-reactive(0.68),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
73,non-reactive(0.71),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
74,non-reactive(0.72),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
75,non-reactive(0.78),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
76,non-reactive(0.77),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
77,non-reactive(0.76),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
78,non-reactive(0.75),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
79,non-reactive(0.74),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
