,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
36,neg(0.29),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844596037728683]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
37,neg(0.19),neg-,"[0.9391666666630408, 0.9577777756253798, 0.9844603511392777]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
38,neg(0.30),neg-,"[0.9515922917897083, 0.9658260205814304, 0.9873302636983654]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
39,neg(0.31),neg-,"[0.9391666666627466, 0.9577777755921347, 0.9844603628169195]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
40,neg(0.32),neg-,"[0.9391666634869367, 0.9577777756252484, 0.9844596154505103]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
41,neg(0.18),neg-,"[0.939166666664593, 0.9577777755922661, 0.9844603628154969]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
42,neg(0.33),neg-,"[0.9515923881936506, 0.9658260848506777, 0.9873302607559262]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
43,neg(0.34),neg-,"[0.9391666634869367, 0.9577777756252484, 0.9844603161091917]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
44,neg(0.35),neg-,"[0.9391666634869367, 0.9577777756252484, 0.98445886808125]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
45,neg(0.17),neg-,"[0.9391666666630408, 0.9577777756253798, 0.9844601759746073]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
46,neg(0.36),neg-,"[0.9391666634861835, 0.957777775591972, 0.9844603628197691]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
47,neg(0.37),neg-,"[0.9391666634869367, 0.9577777756252484, 0.9844601759774555]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
48,neg(0.16),neg-,"[0.9391666666627483, 0.9577777755921357, 0.984460362816921]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
49,neg(0.38),neg-,"[0.9391666666642989, 0.9577777755921347, 0.984460362818345]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
50,neg(0.39),neg-,"[0.9391666634869367, 0.9577777756252484, 0.9844603511421258]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
51,neg(0.40),neg-,"[0.9515923415469169, 0.9658260537690364, 0.9873302169877894]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
52,neg(0.15),neg-,"[0.9391666666630408, 0.9577777756253798, 0.984458868078402]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
53,pos(>250 iu/ml),posi,"[0.8943418802959111, 0.8641538459816297, 0.9305968986789585]",posi,"[3.32, 4.36, 4.12]",posi,"[11, 15, 15]",jw,weak-pos
54,neg(0.41),neg-,"[0.9391666666630408, 0.9577777756253798, 0.9844603161063435]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
55,neg(0.42),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844595687399343]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
56,neg(0.43),neg-,"[0.9391666634869367, 0.9577777756252484, 0.9844603161091917]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
57,neg(0.44),neg-,"[0.9515923881940302, 0.965826084867112, 0.9873302607789569]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
58,neg(0.14),neg-,"[0.9391666666630408, 0.9577777756253798, 0.9844603161063435]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
59,neg(0.45),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844588213706741]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
60,neg(0.46),neg-,"[0.9391666634869382, 0.9577777756252494, 0.9844603161091933]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
61,neg(0.48),neg-,"[0.939166666664593, 0.9577777756253798, 0.984460316107769]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
62,neg(0.47),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844601292668794]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
63,neg(0.49),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844603044315497]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
64,pos(>250),posi,"[0.9594444423246428, 0.9366666634379482, 0.9897035152516431]",posi,"[2.65, 3.61, 3.32]",posi,"[6, 9, 9]",jw,weak-pos
65,neg(0.50),neg-,"[0.9515922917899959, 0.9658260205977558, 0.9873287689598478]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
66,neg(0.13),neg-,"[0.9391666666627466, 0.9577777755921347, 0.9844603628169195]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
67,neg(0.51),neg-,"[0.9391666666630408, 0.9577777756253798, 0.984458868078402]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
68,neg(0.52),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844581207119926]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
69,neg(0.54),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844588213706741]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
70,neg(0.53),neg-,"[0.9391666634869367, 0.9577777756252484, 0.98445886808125]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
71,neg(0.12),neg-,"[0.9391666666630408, 0.9577777756253798, 0.9844596154476621]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
72,neg(0.55),neg-,"[0.9515923881940302, 0.965826084867112, 0.9873302607789569]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
73,neg(0.56),neg-,"[0.9391666634869382, 0.9577777756252494, 0.9844588680812515]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
74,neg(0.57),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844586812389379]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
75,neg(0.58),neg-,"[0.939166666664593, 0.9577777756253798, 0.9844588680798274]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
76,neg(0.59),neg-,"[0.9391666634872308, 0.9577777756419366, 0.9844588564036082]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
77,neg(0.60),neg-,"[0.9515922917897098, 0.9658260205814314, 0.9873302636983667]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
78,neg(0.61),neg-,"[0.9391666666627483, 0.9577777755921357, 0.984460362816921]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
79,neg(0.11),neg-,"[0.9515923881940302, 0.9658260848509149, 0.9873302607561492]",neg-,"[3.87, 3.0, 4.12]",neg-,"[9, 6, 8]",jw,weak-pos
80,neg(0.71),neg-,"[0.9391666666630408, 0.9577777756253798, 0.9844601759746073]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
81,neg(0.69),neg-,"[0.9391666634869382, 0.9577777756252494, 0.9844603511421272]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
82,neg(0.68),neg-,"[0.9391666666643004, 0.9577777755921357, 0.9844603628183464]",neg-,"[3.61, 2.65, 3.87]",neg-,"[9, 6, 8]",jw,weak-pos
