,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
33,non-reactive(0.33),non-reac,"[0.7551054739906523, 0.8924261857320517, 0.8207097013795321]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
34,non-reactive(0.35),non-reac,"[0.733161395069119, 0.879325374141554, 0.7988749127937455]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
35,non-reactive(0.36),non-reac,"[0.7331588354679041, 0.8793247411131335, 0.7988725843744212]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
36,non-reactive(0.39),non-reac,"[0.7331592534846892, 0.879325374141554, 0.7988739880186507]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
37,non-reactive(0.37),non-reac,"[0.733161395069119, 0.879325374141554, 0.7988749127937455]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
38,non-reactive(0.38),non-reac,"[0.7331588352064801, 0.8793247499183651, 0.7988725864063978]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
39,non-reactive(0.1),non-reac,"[0.7551054859115812, 0.8924262179315174, 0.8207097248110681]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
40,non-reactive(0.41),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
41,non-reactive(0.43),non-reac,"[0.733161395069119, 0.879325374141554, 0.7988749127937455]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
42,non-reactive(0.40),non-reac,"[0.7551063442184659, 0.89242636720228, 0.82059318304533]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
43,non-reactive(0.42),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
44,non-reactive(0.44),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205936253290709]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
45,non-reactive(0.00),non-reac,"[0.7770086022766751, 0.9055107524398194, 0.8425100768950107]",non-reac,"[4.69, 4.0, 4.8]",non-reac,"[14, 10, 14]",jw,non-reac
46,non-reactive(0.45),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
47,non-reactive(0.46),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
48,non-reactive(0.47),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
49,non-reactive(0.49),non-reac,"[0.7331612383455025, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
50,non-reactive(0.48),non-reac,"[0.733161405656786, 0.8793253655395201, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
51,non-reactive(0.50),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205896447754024]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
52,non-reactive(0.51),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
53,non-reactive(0.52),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
54,non-reactive(0.2),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8207103882366796]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
55,non-reactive(0.53),non-reac,"[0.733161395069119, 0.879325374141554, 0.7988749127937455]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
56,non-reactive(0.55),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205405512801578]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
57,non-reactive(0.54),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
58,non-reactive(0.58),non-reac,"[0.733161405656786, 0.8793253655395201, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
59,non-reactive(0.57),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
60,non-reactive(0.56),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
61,non-reactive(0.59),non-reac,"[0.7331612383455025, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
62,non-reactive(0.63),non-reac,"[0.7331588354679041, 0.8793247411131335, 0.7988725843744212]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
63,non-reactive(0.62),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
64,non-reactive(0.61),non-reac,"[0.7331588518068965, 0.8793247498506325, 0.7988726007431209]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
65,non-reactive(0.60),non-reac,"[0.755105475729121, 0.8924262343875824, 0.8205889673124652]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
66,non-reactive(0.64),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
67,non-reactive(0.65),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
68,non-reactive(0.69),non-reac,"[0.7331592533539771, 0.8793253740738215, 0.798873987905763]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
69,non-reactive(0.66),non-reac,"[0.7551054739906523, 0.892426185667264, 0.8207097012715527]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
70,non-reactive(0.67),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
71,non-reactive(0.3),non-reac,"[0.7551054758532975, 0.89242623445237, 0.8207097108817218]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
72,non-reactive(0.68),non-reac,"[0.7331588350757682, 0.8793247498506325, 0.7988725862935101]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
73,non-reactive(0.71),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
74,non-reactive(0.72),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
75,non-reactive(0.78),non-reac,"[0.733161405656786, 0.8793253655395201, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
76,non-reactive(0.77),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205830105192883]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
77,non-reactive(0.76),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
